ourid,release_date,grossboxoffice,classgrossboxoffice,specialeffects,starvalue_director,starvalue_producer,startvalue_stars,origscreenoplayes,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,scifi,sport,thriller,war,western,othergenre,competition,mpaa_rating,maxscreens,user_rating,opening___screens,estmated_budget,opening_weekend,number_of_weeks,movie_length,
10035,40445,25677801,5,3,3,3,2,Yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,L,PG,2548,5.4,2458,0,8407513,12,105,
10072,40249,20246959,5,2,2,2,2,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,L,PG-13,1609,3.8,1605,0,7629862,14,0,
10088,40193,24268828,5,3,2,2,2,No,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,L,PG,2924,5.2,2924,0,12877043,6,94,
10109,40109,27445118,5,5,2,3,2,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,L,R,3036,6.1,3036,11000000,14118444,3,90,
10124,40123,25464480,5,4,2,3,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,H,PG-13,2530,5.9,2527,10000000,12231160,8,98,
10126,40186,25893485,5,3,2,1,2,Yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,L,PG,2512,6,2511,19000000,9202815,7,100,
10129,40438,25077977,5,4,2,2,2,No,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,L,PG,2625,4.7,2625,20000000,9106906,11,88,
10248,39906,16025394,5,3,3,2,2,Yes,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,L,R,1876,7.1,1862,0,5722039,8,0,
10315,40081,22452209,5,3,2,3,2,No,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,L,PG,3133,4.6,3096,18000000,10011682,8,107,
10337,39687,23530831,5,2,2,3,3,No,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,L,PG-13,2108,7.1,2054,22000000,10006327,12,114,
10356,39514,16051363,5,3,2,2,3,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,L,PG-13,539,7,535,0,2490942,11,92,
